"GEOID","B01003_001E","B01003_001M","B00001_001E","type","landArea","popDens","popSamp"
"34005",450236,0,39914,"cty",798.9051505149,563.566275307926,8.86512851038122
"34007",511145,0,41063,"cty",221.3461782675,2309.25604408798,8.03353255925422
"34015",291286,0,24688,"cty",321.9558077736,904.739075882218,8.47551890581765
"34021",371101,0,26311,"cty",224.361891468,1654.02866579474,7.08998358937324
"42017",626220,0,55053,"cty",604.4043079503,1036.09453434189,8.79131934463926
"42029",512028,0,48616,"cty",750.5098321149,682.240229361327,9.49479325349395
"42045",562316,0,50823,"cty",183.8712381363,3058.20532726911,9.03815648140903
"42091",815876,0,77155,"cty",483.0080478795,1689.15611982421,9.45670665640367
"42101",1559938,0,100610,"cty",134.1772654365,11625.9486651876,6.44961530522367
